profile,warmup_secs,q1_secs,q1_code,q2_secs,q2_code,q3_secs,q3_code
use_threading_morepools,36.0,56.098120s,200,29.868945s,200,30.185067s,200
noparallel,35.0,65.714844s,200,28.708701s,200,28.446224s,200
use_threading,35.0,51.377846s,200,25.510925s,200,25.419798s,200
memmap_off,72.0,30.074991s,000,0.027504s,000,0.025818s,000
memmap_on,21.0,56.622529s,200,22.060693s,200,21.760600s,200
