profile,warmup_secs,q1_secs,q1_code,q2_secs,q2_code,q3_secs,q3_code
use_threading_morepools,26.0,58.011105s,200,30.388008s,200,30.231484s,200
noparallel,20.0,62.131038s,200,25.131549s,200,24.751955s,200
use_threading,35.0,51.654906s,200,26.123662s,200,26.405078s,200
memmap_off,71.0,33.261425s,000,0.029004s,000,0.025723s,000
memmap_on,36.0,59.155599s,200,26.510901s,200,26.385863s,200
loky_morepools,35.0,52.525840s,500,51.289110s,500,53.509589s,500
