profile,warmup_secs,q1_secs,q1_code,q2_secs,q2_code,q3_secs,q3_code
use_threading_morepools,27.0,59.593316s,200,32.278239s,200,32.572356s,200
noparallel,26.0,61.896590s,200,24.847889s,200,24.989246s,200
use_threading,35.0,54.452359s,200,30.621716s,200,30.673594s,200
memmap_off,65.0,34.474869s,000,0.036040s,000,0.036900s,000
memmap_on,26.0,59.200687s,200,25.630176s,200,25.526913s,200
loky_morepools,35.0,58.497054s,500,54.892535s,500,59.282205s,500
